Table,Column,Pandas Type
customers,customer_id,string
customers,customer_unique_id,string
customers,customer_zip_code_prefix,string
customers,customer_city,string
customers,customer_state,string
customers,source_record_number,int64
customers,missing_key,bool
customers,duplicate_key,bool
customers,customer_identity_missing,bool
customers,zip_missing,bool
customers,zip_format_invalid,bool
customers,zip_unmatched,bool
orders,order_id,string
orders,customer_id,string
orders,order_status,string
orders,order_purchase_timestamp,datetime64[ns]
orders,order_approved_at,datetime64[ns]
orders,order_delivered_carrier_date,datetime64[ns]
orders,order_delivered_customer_date,datetime64[ns]
orders,order_estimated_delivery_date,datetime64[ns]
orders,source_record_number,int64
orders,order_purchase_timestamp_raw,string
orders,order_purchase_timestamp_missing,bool
orders,order_purchase_timestamp_invalid,bool
orders,order_approved_at_raw,string
orders,order_approved_at_missing,bool
orders,order_approved_at_invalid,bool
orders,order_delivered_carrier_date_raw,string
orders,order_delivered_carrier_date_missing,bool
orders,order_delivered_carrier_date_invalid,bool
orders,order_delivered_customer_date_raw,string
orders,order_delivered_customer_date_missing,bool
orders,order_delivered_customer_date_invalid,bool
orders,order_estimated_delivery_date_raw,string
orders,order_estimated_delivery_date_missing,bool
orders,order_estimated_delivery_date_invalid,bool
orders,missing_key,bool
orders,duplicate_key,bool
orders,customer_id_missing_fk,bool
orders,customer_id_unmatched_fk,bool
orders,order_status_invalid,bool
orders,order_approved_at_before_purchase,bool
orders,order_delivered_carrier_date_before_purchase,bool
orders,order_delivered_customer_date_before_purchase,bool
orders,delivery_before_carrier,bool
order_items,order_id,string
order_items,order_item_id,Int64
order_items,product_id,string
order_items,seller_id,string
order_items,shipping_limit_date,datetime64[ns]
order_items,price,Float64
order_items,freight_value,Float64
order_items,source_record_number,int64
order_items,shipping_limit_date_raw,string
order_items,shipping_limit_date_missing,bool
order_items,shipping_limit_date_invalid,bool
order_items,order_item_id_raw,string
order_items,order_item_id_missing,bool
order_items,order_item_id_invalid,bool
order_items,price_raw,string
order_items,price_missing,bool
order_items,price_invalid,bool
order_items,freight_value_raw,string
order_items,freight_value_missing,bool
order_items,freight_value_invalid,bool
order_items,missing_key,bool
order_items,duplicate_key,bool
order_items,order_id_missing_fk,bool
order_items,order_id_unmatched_fk,bool
order_items,product_id_missing_fk,bool
order_items,product_id_unmatched_fk,bool
order_items,seller_id_missing_fk,bool
order_items,seller_id_unmatched_fk,bool
order_items,price_negative,bool
order_items,price_zero,bool
order_items,freight_value_negative,bool
order_items,freight_value_zero,bool
order_payments,order_id,string
order_payments,payment_sequential,Int64
order_payments,payment_type,string
order_payments,payment_installments,Int64
order_payments,payment_value,Float64
order_payments,source_record_number,int64
order_payments,payment_sequential_raw,string
order_payments,payment_sequential_missing,bool
order_payments,payment_sequential_invalid,bool
order_payments,payment_installments_raw,string
order_payments,payment_installments_missing,bool
order_payments,payment_installments_invalid,bool
order_payments,payment_value_raw,string
order_payments,payment_value_missing,bool
order_payments,payment_value_invalid,bool
order_payments,missing_key,bool
order_payments,duplicate_key,bool
order_payments,order_id_missing_fk,bool
order_payments,order_id_unmatched_fk,bool
order_payments,payment_value_negative,bool
order_payments,payment_value_zero,bool
order_reviews,review_id,string
order_reviews,order_id,string
order_reviews,review_score,Int64
order_reviews,review_comment_title,string
order_reviews,review_comment_message,string
order_reviews,review_creation_date,datetime64[ns]
order_reviews,review_answer_timestamp,datetime64[ns]
order_reviews,source_record_number,int64
order_reviews,review_creation_date_raw,string
order_reviews,review_creation_date_missing,bool
order_reviews,review_creation_date_invalid,bool
order_reviews,review_answer_timestamp_raw,string
order_reviews,review_answer_timestamp_missing,bool
order_reviews,review_answer_timestamp_invalid,bool
order_reviews,review_score_raw,string
order_reviews,review_score_missing,bool
order_reviews,review_score_invalid,bool
order_reviews,missing_key,bool
order_reviews,duplicate_key,bool
order_reviews,order_id_missing_fk,bool
order_reviews,order_id_unmatched_fk,bool
order_reviews,review_score_out_of_range,bool
products,product_id,string
products,product_category_name,string
products,product_name_lenght,Int64
products,product_description_lenght,Int64
products,product_photos_qty,Int64
products,product_weight_g,Int64
products,product_length_cm,Int64
products,product_height_cm,Int64
products,product_width_cm,Int64
products,source_record_number,int64
products,product_name_lenght_raw,string
products,product_name_lenght_missing,bool
products,product_name_lenght_invalid,bool
products,product_description_lenght_raw,string
products,product_description_lenght_missing,bool
products,product_description_lenght_invalid,bool
products,product_photos_qty_raw,string
products,product_photos_qty_missing,bool
products,product_photos_qty_invalid,bool
products,product_weight_g_raw,string
products,product_weight_g_missing,bool
products,product_weight_g_invalid,bool
products,product_length_cm_raw,string
products,product_length_cm_missing,bool
products,product_length_cm_invalid,bool
products,product_height_cm_raw,string
products,product_height_cm_missing,bool
products,product_height_cm_invalid,bool
products,product_width_cm_raw,string
products,product_width_cm_missing,bool
products,product_width_cm_invalid,bool
products,missing_key,bool
products,duplicate_key,bool
products,product_category_name_english,string
products,category_status,object
products,category_display,string
products,category_missing,bool
products,category_untranslated,bool
products,product_weight_g_nonpositive,bool
products,product_length_cm_nonpositive,bool
products,product_height_cm_nonpositive,bool
products,product_width_cm_nonpositive,bool
sellers,seller_id,string
sellers,seller_zip_code_prefix,string
sellers,seller_city,string
sellers,seller_state,string
sellers,source_record_number,int64
sellers,missing_key,bool
sellers,duplicate_key,bool
